kommun_kod,kommun_namn,elomrade_primary,elomrade_secondary,is_split,primary_basis,source,note
2584,Kiruna,SE1,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2580,Luleå,SE1,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2506,Arjeplog,SE1,SE2,true,main zone selected,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2505,Arvidsjaur,SE1,,false,inferred,sverigeskommuner.net/<kommun> (fetched 2026-09-24),source page blank; all neighbours SE1 or SE1/SE2 -> inferred SE1
2581,Piteå,SE1,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2560,Älvsbyn,SE1,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2510,Jokkmokk,SE1,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2513,Överkalix,SE1,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2514,Kalix,SE1,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2518,Övertorneå,SE1,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2521,Pajala,SE1,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2523,Gällivare,SE1,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2582,Boden,SE1,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2583,Haparanda,SE1,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2482,Skellefteå,SE1,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2417,Norsjö,SE1,SE2,true,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),source: SE1 'och en liten del i elområde 2' -> primary SE1
2418,Malå,SE1,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2422,Sorsele,SE1,SE2,true,main zone selected,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2421,Storuman,SE2,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2480,Umeå,SE2,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2401,Nordmaling,SE2,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2403,Bjurholm,SE2,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2404,Vindeln,SE2,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2409,Robertsfors,SE1,SE2,true,main zone selected,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2425,Dorotea,SE2,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2460,Vännäs,SE2,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2462,Vilhelmina,SE2,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2463,Åsele,SE2,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2481,Lycksele,SE2,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2161,Ljusdal,SE2,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2101,Ockelbo,SE2,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2104,Hofors,SE3,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2121,Ovanåker,SE2,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2132,Nordanstig,SE2,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),
2180,Gävle,SE3,,false,stated by source,sverigeskommuner.net/<kommun> (fetched 2026-09-24),confirmed by Gävle Energi: SE2/SE3 border runs 'strax norr om Gävle'
