attrvalid,kw,current_type,kw_basis,nobil_label
0,,UNKNOWN,none,"Unspecified"
7,3.6,AC,stated,"3,6 kW - 230V 1-phase max 16A"
8,7.4,AC,stated,"7,4 kW - 230V 1-phase max 32A"
10,11,AC,stated,"11 kW - 400V 3-phase max 16A"
11,22,AC,stated,"22 kW - 400V 3-phase max 32A"
12,43,AC,stated,"43 kW - 400V 3-phase max 63A"
16,6.37,AC,derived,"230V 3-phase max 16A"
17,12.75,AC,derived,"230V 3-phase max 32A"
18,25.1,AC,derived,"230V 3-phase max 63A"
19,20,DC,stated,"20 kW - 500VDC max 50A"
37,30,DC,stated,"30 kW DC"
13,50,DC,stated,"50 kW - 500VDC max 100A"
38,62.5,DC,stated,"62,5 kW DC"
29,75,DC,stated,"75 kW DC"
23,100,DC,stated,"100 kW - 500VDC max 200A"
22,135,DC,stated,"135 kW - 480VDC max 270A"
24,150,DC,stated,"150 kW DC"
41,175,DC,stated,"175 kW DC"
42,180,DC,stated,"180 kW DC"
32,200,DC,stated,"200 kW DC"
30,225,DC,stated,"225 kW DC"
31,250,DC,stated,"250 kW DC"
33,300,DC,stated,"300 kW DC"
25,350,DC,stated,"350 kW DC"
36,400,DC,stated,"400 kW DC"
39,500,DC,stated,"500 kW DC"
26,,H2,none,"350 bar"
27,,H2,none,"700 bar"
34,,BIOGAS,none,"CBG"
35,,BIOGAS,none,"LBG"
